ID,EMPRESA_JUNIOR,FED,CLUSTER,FATURAMENTO,PORCENTAGEM_MEMBROS,N_PROJETOS,ACOES_COMPARTILHADAS,PARTICIPACAO,NPS,PROJETOS_IMPACTO
36,EPEC,FEJESC,5,185000,75,47,8,80,55,26
64,Equacione Jr.,Juniores,1,15000,100,35,7,80,50,18
68,EJECiv,FEJERS,4,90000,85,40,4,78,50,20
75,Phygeo - Soluções em Geofísica e Geotecnologia,Concentro,5,500000,75,25,1,90,30,10
463,Empresa Júnior IDE,FEJERS,2,70000,100,24,6,100,60,15
17,EJUDI Soluções Jurídicas,FEJECE,5,130000,97,100,7,54,91,91
63,PROTEQ ,FEJEA,4,100000,75,50,5,80,1,5
59,CEFET Jr. Consultoria,RioJunior,4,160000,80,55,3,80,50,28
199,Ação Júnior,FEJESC,4,200000,73,20,3,60,40,10
739,Dual Jr,FEJECE,1,4000,100,6,3,55,35,3
96,CJR,Concentro,3,70000,78,21,2,70,90,19
576,Maximiza Consultoria,FEJEPAR,1,11600,52,12,1,59,25,3
49,Elementus Júnior Consultoria,FEJEPE,4,120000,90,50,3,90,50,25
82,Poli Júnior​,FEJESP,5,341000,95,23,3,33,86,20
99,Equilíbrio Assessoria Econômica,FEJERS,4,55960,68,186,2,65,1,12
74,EMBRAGEA,Concentro,2,16746,60,16,1,50,20,4
861,Cultivar Jr,Juniores,1,6000,40,10,1,35,50,5
86,Lamparina Design,Concentro,3,61000,100,30,6,80,13,4
81,Adapti ,Juniores,3,45657,45,35,3,78,30,11
215,Brava Consultoria Jr.,Goiás Júnior,1,15000,65,12,1,50,12,2
1264,MUSEOTEC - consultoria e serviços em museologia,Concentro,S/N,0,0,0,0,0,0,0
552,Pórticos Empresa Júnior de Engenharia Civil,FEJEPAR,3,32000,57,40,2,64,80,32
575,Precisão Engenharia Empresa Junior de Engenharia Mecânica,FEJESP,1,4813,60,10,1,33,1,2
1222,CodeX,PB Júnior,1,7034,80,5,2,53,50,3
351,Alcance Engenharia Junior,FEJEPAR,4,90000,85,60,3,90,85,51
