"EMPRESA,FED,""PROJETOS"""
"ACCONT EMPRESA JÚNIOR,""FEJECE"",""16"""
"ACCONT EMPRESA JÚNIOR,""FEJECE"",""12"""
"ACCONT EMPRESA JÚNIOR,""FEJECE"",""10"""
"ACCONT EMPRESA JÚNIOR,""FEJECE"",""4"""
"Inova Jr. Unifei,""FEJEMG"",""0"""
"Inova Jr. Unifei,""FEJEMG"",""5"""
"Inova Jr. Unifei,""FEJEMG"",""1"""
"Inova Jr. Unifei,""FEJEMG"",""3"""
"EJ BRAVA,""FEJEMS"",""0"""
"EJ BRAVA,""FEJEMS"",""0"""
"EJ BRAVA,""FEJEMS"",""1"""
"EJ BRAVA,""FEJEMS"",""1"""
"StartUP! Engenharia,""FEJESP"",""0"""
"StartUP! Engenharia,""FEJESP"",""1"""
"StartUP! Engenharia,""FEJESP"",""0"""
"StartUP! Engenharia,""FEJESP"",""0"""
"CONEX - Consultoria em Negócios Exteriores,""Concentro"",""1"""
"CONEX - Consultoria em Negócios Exteriores,""Concentro"",""1"""
"CONEX - Consultoria em Negócios Exteriores,""Concentro"",""0"""
"CONEX - Consultoria em Negócios Exteriores,""Concentro"",""0"""
"Mata Branca Jr.,""FEJECE"",""0"""
"Mata Branca Jr.,""FEJECE"",""0"""
"Mata Branca Jr.,""FEJECE"",""1"""
"Mata Branca Jr.,""FEJECE"",""1"""
"Liga Consultoria,""FEJEPE"",""0"""
"Liga Consultoria,""FEJEPE"",""0"""
"Liga Consultoria,""FEJEPE"",""0"""
"Liga Consultoria,""FEJEPE"",""0"""
"Otimiza ,""FEJEPAR"",""0"""
"Otimiza ,""FEJEPAR"",""0"""
"Otimiza ,""FEJEPAR"",""2"""
"Otimiza ,""FEJEPAR"",""0"""
"Agro Júnior Consultoria e Assistência Agronômica,""Goiás Júnior"",""1"""
"Agro Júnior Consultoria e Assistência Agronômica,""Goiás Júnior"",""0"""
"Agro Júnior Consultoria e Assistência Agronômica,""Goiás Júnior"",""0"""
"Agro Júnior Consultoria e Assistência Agronômica,""Goiás Júnior"",""0"""
"Elementus Júnior Consultoria,""FEJEPE"",""4"""
"Elementus Júnior Consultoria,""FEJEPE"",""3"""
"Elementus Júnior Consultoria,""FEJEPE"",""1"""
"Elementus Júnior Consultoria,""FEJEPE"",""1"""
"MAE Jr,""Piauí Júnior"",""2"""
"MAE Jr,""Piauí Júnior"",""0"""
"MAE Jr,""Piauí Júnior"",""0"""
"MAE Jr,""Piauí Júnior"",""0"""
"Porte Empresa Júnior,""FEJEMG"",""9"""
"Porte Empresa Júnior,""FEJEMG"",""27"""
"Porte Empresa Júnior,""FEJEMG"",""10"""
"Porte Empresa Júnior,""FEJEMG"",""15"""
"Capital Júnior ,""Acre Júnior"",""0"""
"Capital Júnior ,""Acre Júnior"",""0"""
"Capital Júnior ,""Acre Júnior"",""0"""
"Capital Júnior ,""Acre Júnior"",""0"""
"FEA júnior USP,""FEJESP"",""0"""
"FEA júnior USP,""FEJESP"",""1"""
"FEA júnior USP,""FEJESP"",""7"""
"FEA júnior USP,""FEJESP"",""1"""
"EJIFAR - Empresa Júnior Integrada de Farmácia,""FEJESC"",""0"""
"EJIFAR - Empresa Júnior Integrada de Farmácia,""FEJESC"",""0"""
"EJIFAR - Empresa Júnior Integrada de Farmácia,""FEJESC"",""0"""
"EJIFAR - Empresa Júnior Integrada de Farmácia,""FEJESC"",""0"""
"Robótica Tucuju Enterprise,""FEJEAP"",""0"""
"Robótica Tucuju Enterprise,""FEJEAP"",""0"""
"Robótica Tucuju Enterprise,""FEJEAP"",""0"""
"Robótica Tucuju Enterprise,""FEJEAP"",""0"""
"ACTUS Soluções e Consultoria,""FEJEPAR"",""0"""
"ACTUS Soluções e Consultoria,""FEJEPAR"",""0"""
"ACTUS Soluções e Consultoria,""FEJEPAR"",""1"""
"ACTUS Soluções e Consultoria,""FEJEPAR"",""0"""
"TECMEC,""Concentro"",""6"""
"TECMEC,""Concentro"",""2"""
"TECMEC,""Concentro"",""0"""
"TECMEC,""Concentro"",""0"""
"Sigma Júnior Consultoria Estatística ,""FEJERS"",""4"""
"Sigma Júnior Consultoria Estatística ,""FEJERS"",""0"""
"Sigma Júnior Consultoria Estatística ,""FEJERS"",""7"""
"Sigma Júnior Consultoria Estatística ,""FEJERS"",""2"""
"Associação Simbiosis Empresa Júnior,""FEJESC"",""0"""
"Associação Simbiosis Empresa Júnior,""FEJESC"",""0"""
"Associação Simbiosis Empresa Júnior,""FEJESC"",""0"""
"Associação Simbiosis Empresa Júnior,""FEJESC"",""0"""
"LIFE Jr. Laboratório de Inovações,""UNIJr-BA"",""4"""
"LIFE Jr. Laboratório de Inovações,""UNIJr-BA"",""0"""
"LIFE Jr. Laboratório de Inovações,""UNIJr-BA"",""2"""
"LIFE Jr. Laboratório de Inovações,""UNIJr-BA"",""0"""
"ITEP Jr,""FEJERS"",""4"""
"ITEP Jr,""FEJERS"",""0"""
"ITEP Jr,""FEJERS"",""2"""
"ITEP Jr,""FEJERS"",""4"""
"Magna Empresa Jurídica Júnior,""FEJEMG"",""2"""
"Magna Empresa Jurídica Júnior,""FEJEMG"",""0"""
"Magna Empresa Jurídica Júnior,""FEJEMG"",""1"""
"Magna Empresa Jurídica Júnior,""FEJEMG"",""0"""
"O2 Consultoria Ambiental Júnior,""Concentro"",""0"""
"O2 Consultoria Ambiental Júnior,""Concentro"",""0"""
"O2 Consultoria Ambiental Júnior,""Concentro"",""0"""
"O2 Consultoria Ambiental Júnior,""Concentro"",""0"""
"Olé Júnior,""Concentro"",""0"""
"Olé Júnior,""Concentro"",""0"""
"Olé Júnior,""Concentro"",""0"""
"Olé Júnior,""Concentro"",""0"""
"IDEAS - Projetos e Soluções Corporativas,""Juniores"",""0"""
"IDEAS - Projetos e Soluções Corporativas,""Juniores"",""0"""
"IDEAS - Projetos e Soluções Corporativas,""Juniores"",""0"""
"IDEAS - Projetos e Soluções Corporativas,""Juniores"",""1"""
"SetApp,""FEJEMG"",""0"""
"SetApp,""FEJEMG"",""0"""
"SetApp,""FEJEMG"",""0"""
"SetApp,""FEJEMG"",""0"""
"AgroVale Júnior,""FEMTEJ"",""0"""
"AgroVale Júnior,""FEMTEJ"",""0"""
"AgroVale Júnior,""FEMTEJ"",""0"""
"AgroVale Júnior,""FEMTEJ"",""0"""
"Atria Júnior,""FEJESP"",""0"""
"Atria Júnior,""FEJESP"",""0"""
"Atria Júnior,""FEJESP"",""0"""
"Atria Júnior,""FEJESP"",""0"""
"Conecta Jr.,""FEJEMS"",""0"""
"Conecta Jr.,""FEJEMS"",""0"""
"Conecta Jr.,""FEJEMS"",""0"""
"Conecta Jr.,""FEJEMS"",""0"""
"João Pinheiro Jr.,""FEJEMG"",""0"""
"João Pinheiro Jr.,""FEJEMG"",""1"""
"João Pinheiro Jr.,""FEJEMG"",""0"""
"João Pinheiro Jr.,""FEJEMG"",""0"""
"Code Empresa Júnior de Computação,""FEJEMG"",""1"""
"Code Empresa Júnior de Computação,""FEJEMG"",""2"""
"Code Empresa Júnior de Computação,""FEJEMG"",""2"""
"Code Empresa Júnior de Computação,""FEJEMG"",""0"""
"Arq Jr. Projetos e Consultorias,""FEJEMG"",""0"""
"Arq Jr. Projetos e Consultorias,""FEJEMG"",""1"""
"Arq Jr. Projetos e Consultorias,""FEJEMG"",""2"""
"Arq Jr. Projetos e Consultorias,""FEJEMG"",""0"""
"UniSigma Consultoria,""PB Júnior"",""1"""
"UniSigma Consultoria,""PB Júnior"",""0"""
"UniSigma Consultoria,""PB Júnior"",""0"""
"UniSigma Consultoria,""PB Júnior"",""0"""
"Ciclo Consultoria,""FEJEPE"",""1"""
"Ciclo Consultoria,""FEJEPE"",""0"""
"Ciclo Consultoria,""FEJEPE"",""5"""
"Ciclo Consultoria,""FEJEPE"",""0"""
"Socius - Consultoria Júnior em Ciências Sociais,""Concentro"",""0"""
"Socius - Consultoria Júnior em Ciências Sociais,""Concentro"",""1"""
"Socius - Consultoria Júnior em Ciências Sociais,""Concentro"",""0"""
"Socius - Consultoria Júnior em Ciências Sociais,""Concentro"",""0"""
"Ayra Consultoria,""RioJunior"",""1"""
"Ayra Consultoria,""RioJunior"",""0"""
"Ayra Consultoria,""RioJunior"",""0"""
"Ayra Consultoria,""RioJunior"",""0"""
"Datum Engenharia Jr.,""UNIJr-BA"",""1"""
"Datum Engenharia Jr.,""UNIJr-BA"",""0"""
"Datum Engenharia Jr.,""UNIJr-BA"",""0"""
"Datum Engenharia Jr.,""UNIJr-BA"",""0"""
"Motriz Empresa Júnior,""FEJESP"",""0"""
"Motriz Empresa Júnior,""FEJESP"",""3"""
"Motriz Empresa Júnior,""FEJESP"",""1"""
"Motriz Empresa Júnior,""FEJESP"",""2"""
"Consultoria Empresarial de Engenharia Química - CEJEQ,""FEJESC"",""0"""
"Consultoria Empresarial de Engenharia Química - CEJEQ,""FEJESC"",""0"""
"Consultoria Empresarial de Engenharia Química - CEJEQ,""FEJESC"",""0"""
